"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO BICE RENTA PESOS","8029","LARGOPLAZO","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA PESOS","8029","LIQUIDEZ","RGFMU","AAAw+cAAhAAAACcAAR","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","CLASICA","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","D","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","E","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","G","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","INSTITUCIO","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","K","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","LARGOPLAZO","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE RENTA UF","8141","LIQUIDEZ","RGFMU","AAAw+cAAhAAAACeAAQ","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BICE TEMÁTICO GLOBAL","10009","CLASICA","RGFMU","AAAw+cAAhAABQKCAAO","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE TEMÁTICO GLOBAL","10009","INSTITUCIO","RGFMU","AAAw+cAAhAABQKCAAO","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE TEMÁTICO GLOBAL","10009","LARGOPLAZO","RGFMU","AAAw+cAAhAABQKCAAO","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE TEMÁTICO GLOBAL","10009","LIQUIDEZ","RGFMU","AAAw+cAAhAABQKCAAO","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BICE TESORERIA","8100","CLASICA","RGFMU","AAAw+cAAhAAAACdAAQ","Money Market","CFM"
"FONDO MUTUO BICE TESORERIA","8100","INSTITUCIO","RGFMU","AAAw+cAAhAAAACdAAQ","Money Market","CFM"
"FONDO MUTUO BICE TESORERIA","8100","K","RGFMU","AAAw+cAAhAAAACdAAQ","Money Market","CFM"
"FONDO MUTUO BICE TESORERIA","8100","X","RGFMU","AAAw+cAAhAAAACdAAQ","Money Market","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES LATINOAMERICANAS","8206","B","RGFMU","AAAw+cAAhAAAACfAAK","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES LATINOAMERICANAS","8206","D","RGFMU","AAAw+cAAhAAAACfAAK","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES LATINOAMERICANAS","8206","I","RGFMU","AAAw+cAAhAAAACfAAK","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES LATINOAMERICANAS","8206","X","RGFMU","AAAw+cAAhAAAACfAAK","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES USA","8205","ADC","RGFMU","AAAw+cAAhAAAACfAAJ","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES USA","8205","B","RGFMU","AAAw+cAAhAAAACfAAJ","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES USA","8205","F","RGFMU","AAAw+cAAhAAAACfAAJ","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL ACCIONES USA","8205","I","RGFMU","AAAw+cAAhAAAACfAAJ","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL AHORRO LATINOAMERICANO DÓLAR","8207","A","RGFMU","AAAw+cAAhAAAACfAAL","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BTG PACTUAL AHORRO LATINOAMERICANO DÓLAR","8207","B","RGFMU","AAAw+cAAhAAAACfAAL","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BTG PACTUAL AHORRO LATINOAMERICANO DÓLAR","8207","I","RGFMU","AAAw+cAAhAAAACfAAL","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO BTG PACTUAL BRASIL","8575","A","RGFMU","AAAw+cAAhAABP4BAAG","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL BRASIL","8575","B","RGFMU","AAAw+cAAhAABP4BAAG","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL BRASIL","8575","C","RGFMU","AAAw+cAAhAABP4BAAG","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL BRASIL","8575","I","RGFMU","AAAw+cAAhAABP4BAAG","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL CHILE ACCIÓN","8898","B","RGFMU","AAAw+cAAhAABP4EAAH","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL CHILE ACCIÓN","8898","F","RGFMU","AAAw+cAAhAABP4EAAH","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GESTION ACTIVA","9006","A","RGFMU","AAAw+cAAhAABP4FAAU","Balanceados - Moderado","CFM"
"FONDO MUTUO BTG PACTUAL GESTION ACTIVA","9006","ADC","RGFMU","AAAw+cAAhAABP4FAAU","Balanceados - Moderado","CFM"
"FONDO MUTUO BTG PACTUAL GESTION ACTIVA","9006","DIGITAL","RGFMU","AAAw+cAAhAABP4FAAU","Balanceados - Moderado","CFM"
"FONDO MUTUO BTG PACTUAL GESTION ACTIVA","9006","F","RGFMU","AAAw+cAAhAABP4FAAU","Balanceados - Moderado","CFM"
"FONDO MUTUO BTG PACTUAL GESTION ACTIVA","9006","I","RGFMU","AAAw+cAAhAABP4FAAU","Balanceados - Moderado","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN AGRESIVA","9873","A","RGFMU","AAAw+cAAhAABP4VAA4","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN AGRESIVA","9873","ADC","RGFMU","AAAw+cAAhAABP4VAA4","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN AGRESIVA","9873","DIGITAL","RGFMU","AAAw+cAAhAABP4VAA4","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN AGRESIVA","9873","I","RGFMU","AAAw+cAAhAABP4VAA4","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN CONSERVADORA","9872","ADC","RGFMU","AAAw+cAAhAABP4TAA/","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GESTIÓN CONSERVADORA","9872","DIGITAL","RGFMU","AAAw+cAAhAABP4TAA/","Sin clasificacion","CFM"
